매장,Floor(층),층별 매장 정보,층별 매장 정보 설명,층별 서비스 공간,층별 서비스 공간 설명,운영시간,주소,방문 전 확인 사항,Content
강남,2F,Connection Hub,갤럭시의 다양한 제품을 한곳에서 체험하고 구매할 수 있는 공간,Harman,-,10:00 ~ 20:00,서울 서초구 강남대로 421,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : 2F, 층별 매장 정보 : Connection Hub, 층별 매장 정보 설명 : 갤럭시의 다양한 제품을 한곳에서 체험하고 구매할 수 있는 공간, 층별 서비스 공간 : Harman, 층별 서비스 공간 설명 : -, 운영시간 : 10:00 ~ 20:00, 주소 : 서울 서초구 강남대로 421, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,3F,Social Lounge,새로운 라이프스타일을 경험하고 모임과 배움으로 소통하는 공간,Auditorium ,다양한 주제의 컬처랩 클래스를 통해 배우고 소통할 수 있는 곳입니다. ,10:00 ~ 20:00,서울 서초구 강남대로 422,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : 3F, 층별 매장 정보 : Social Lounge, 층별 매장 정보 설명 : 새로운 라이프스타일을 경험하고 모임과 배움으로 소통하는 공간, 층별 서비스 공간 : Auditorium , 층별 서비스 공간 설명 : 다양한 주제의 컬처랩 클래스를 통해 배우고 소통할 수 있는 곳입니다. , 운영시간 : 10:00 ~ 20:00, 주소 : 서울 서초구 강남대로 422, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,3F,Social Lounge,새로운 라이프스타일을 경험하고 모임과 배움으로 소통하는 공간,SLBS Studio,휴대폰부터 가전까지 다양한 액세서리 제품을 나만의 스타일로 꾸밀 수 있습니다.  ,10:00 ~ 20:00,서울 서초구 강남대로 423,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : 3F, 층별 매장 정보 : Social Lounge, 층별 매장 정보 설명 : 새로운 라이프스타일을 경험하고 모임과 배움으로 소통하는 공간, 층별 서비스 공간 : SLBS Studio, 층별 서비스 공간 설명 : 휴대폰부터 가전까지 다양한 액세서리 제품을 나만의 스타일로 꾸밀 수 있습니다.  , 운영시간 : 10:00 ~ 20:00, 주소 : 서울 서초구 강남대로 423, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,3F,Social Lounge,새로운 라이프스타일을 경험하고 모임과 배움으로 소통하는 공간,Center Coffee,편안하게 휴식하며 삼성 강남 시그니처 메뉴인 갤럭시 아인슈페너를 즐길 수 있습니다. ,10:00 ~ 20:00,서울 서초구 강남대로 424,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : 3F, 층별 매장 정보 : Social Lounge, 층별 매장 정보 설명 : 새로운 라이프스타일을 경험하고 모임과 배움으로 소통하는 공간, 층별 서비스 공간 : Center Coffee, 층별 서비스 공간 설명 : 편안하게 휴식하며 삼성 강남 시그니처 메뉴인 갤럭시 아인슈페너를 즐길 수 있습니다. , 운영시간 : 10:00 ~ 20:00, 주소 : 서울 서초구 강남대로 424, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,4F,Open Playground,The Wall 중심의 하이테크 미디어를 체험하는 공간이자 다양한 콜라보 이벤트가 이루어지는 공간,The Wall,초대형 디스플레이를 통해 8K 초고화질의 생생한 컬러로 표현된 강남대로 마천루를 감상할 수 있습니다. ,10:00 ~ 20:00,서울 서초구 강남대로 425,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : 4F, 층별 매장 정보 : Open Playground, 층별 매장 정보 설명 : The Wall 중심의 하이테크 미디어를 체험하는 공간이자 다양한 콜라보 이벤트가 이루어지는 공간, 층별 서비스 공간 : The Wall, 층별 서비스 공간 설명 : 초대형 디스플레이를 통해 8K 초고화질의 생생한 컬러로 표현된 강남대로 마천루를 감상할 수 있습니다. , 운영시간 : 10:00 ~ 20:00, 주소 : 서울 서초구 강남대로 425, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
강남,4F,Open Playground,The Wall 중심의 하이테크 미디어를 체험하는 공간이자 다양한 콜라보 이벤트가 이루어지는 공간,Gaming Zone,게임 플레이에 맞는 몰입감을 제공하는 공간으로 게임사와 콜라보로 운영하고 있습니다.  ,10:00 ~ 20:00,서울 서초구 강남대로 426,"사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. ","매장 : 강남, Floor(층) : 4F, 층별 매장 정보 : Open Playground, 층별 매장 정보 설명 : The Wall 중심의 하이테크 미디어를 체험하는 공간이자 다양한 콜라보 이벤트가 이루어지는 공간, 층별 서비스 공간 : Gaming Zone, 층별 서비스 공간 설명 : 게임 플레이에 맞는 몰입감을 제공하는 공간으로 게임사와 콜라보로 운영하고 있습니다.  , 운영시간 : 10:00 ~ 20:00, 주소 : 서울 서초구 강남대로 426, 방문 전 확인 사항 : 사전예약 없이 방문시 버시스 대기 시간이 길어질 수 있습니다. 
토요일 오후, 일/공휴일은 방문 전 예약이 필요합니다. "
"Mumbai, India ",1F,-,-,Mobile Experience ,-,-,-,-,"매장 : Mumbai, India , Floor(층) : 1F, 층별 매장 정보 : -, 층별 매장 정보 설명 : -, 층별 서비스 공간 : Mobile Experience , 층별 서비스 공간 설명 : -, 운영시간 : -, 주소 : -, 방문 전 확인 사항 : -"
"Mumbai, India ",1F,-,-,Hobby Room,Immersive gaming experience,-,-,-,"매장 : Mumbai, India , Floor(층) : 1F, 층별 매장 정보 : -, 층별 매장 정보 설명 : -, 층별 서비스 공간 : Hobby Room, 층별 서비스 공간 설명 : Immersive gaming experience, 운영시간 : -, 주소 : -, 방문 전 확인 사항 : -"
"Mumbai, India ",1F,-,-,Home Café,Customize your favourite Samsung Bespoke range,-,-,-,"매장 : Mumbai, India , Floor(층) : 1F, 층별 매장 정보 : -, 층별 매장 정보 설명 : -, 층별 서비스 공간 : Home Café, 층별 서비스 공간 설명 : Customize your favourite Samsung Bespoke range, 운영시간 : -, 주소 : -, 방문 전 확인 사항 : -"
"Mumbai, India ",1F,-,-,Screen Max,-,-,-,-,"매장 : Mumbai, India , Floor(층) : 1F, 층별 매장 정보 : -, 층별 매장 정보 설명 : -, 층별 서비스 공간 : Screen Max, 층별 서비스 공간 설명 : -, 운영시간 : -, 주소 : -, 방문 전 확인 사항 : -"
"Mumbai, India ",1F,-,-,Home Atelier,Art meets technology and creativity,-,-,-,"매장 : Mumbai, India , Floor(층) : 1F, 층별 매장 정보 : -, 층별 매장 정보 설명 : -, 층별 서비스 공간 : Home Atelier, 층별 서비스 공간 설명 : Art meets technology and creativity, 운영시간 : -, 주소 : -, 방문 전 확인 사항 : -"
"Mumbai, India ",1F,-,-,Home Office,Experience multi device experience for the perfect work from home setup,-,-,-,"매장 : Mumbai, India , Floor(층) : 1F, 층별 매장 정보 : -, 층별 매장 정보 설명 : -, 층별 서비스 공간 : Home Office, 층별 서비스 공간 설명 : Experience multi device experience for the perfect work from home setup, 운영시간 : -, 주소 : -, 방문 전 확인 사항 : -"
"Mumbai, India ",1F,-,-,Connected Kitchen,Discover a beautiful and functional kitchen range,-,-,-,"매장 : Mumbai, India , Floor(층) : 1F, 층별 매장 정보 : -, 층별 매장 정보 설명 : -, 층별 서비스 공간 : Connected Kitchen, 층별 서비스 공간 설명 : Discover a beautiful and functional kitchen range, 운영시간 : -, 주소 : -, 방문 전 확인 사항 : -"
"Mumbai, India ",1F,-,-,Intelligent Closet,AI enabled world class laundry solutions at your fingertips,-,-,-,"매장 : Mumbai, India , Floor(층) : 1F, 층별 매장 정보 : -, 층별 매장 정보 설명 : -, 층별 서비스 공간 : Intelligent Closet, 층별 서비스 공간 설명 : AI enabled world class laundry solutions at your fingertips, 운영시간 : -, 주소 : -, 방문 전 확인 사항 : -"
"Mumbai, India ",1F,-,-,Private Cinema,Immersive visual and studio cinematic experience,-,-,-,"매장 : Mumbai, India , Floor(층) : 1F, 층별 매장 정보 : -, 층별 매장 정보 설명 : -, 층별 서비스 공간 : Private Cinema, 층별 서비스 공간 설명 : Immersive visual and studio cinematic experience, 운영시간 : -, 주소 : -, 방문 전 확인 사항 : -"
"Mumbai, India ",1F,-,-,Pick-Up,-,-,-,-,"매장 : Mumbai, India , Floor(층) : 1F, 층별 매장 정보 : -, 층별 매장 정보 설명 : -, 층별 서비스 공간 : Pick-Up, 층별 서비스 공간 설명 : -, 운영시간 : -, 주소 : -, 방문 전 확인 사항 : -"
"Mumbai, India ",1F,-,-,Customer Service,-,-,-,-,"매장 : Mumbai, India , Floor(층) : 1F, 층별 매장 정보 : -, 층별 매장 정보 설명 : -, 층별 서비스 공간 : Customer Service, 층별 서비스 공간 설명 : -, 운영시간 : -, 주소 : -, 방문 전 확인 사항 : -"
