No,Category,Type,Question,Revised,Disclaimer,Combined_Content
11,AI,Live Translate,"What is Live Translate, and how can I use it?Is there any voice translator?","With Live Translate, you can translate both sides of a spoken conversation* during a phone call.
By tapping the translator button on the call screen, you can translate anything said in either language into the other. 

* Precondition: Open the Phone app > Tap the More options icon > Tap Settings > Tap and activate Live translate > Choose each language and voice for you and the other person (Or, set languages to use for calls with specific phone numbers or contacts)","* (TBU) Supports 13 languages (17 locale): English(US/Great Britain/India), Portuguese(Brazil), Spanish(Spain/Mexico/US), French, Korean, German, Italian, Chinese(Simplified), Japanese, Hindi, Polish, Thai, Vietnamese","Revised : 
With Live Translate, you can translate both sides of a spoken conversation* during a phone call.
By tapping the translator button on the call screen, you can translate anything said in either language into the other. 

* Precondition: Open the Phone app > Tap the More options icon > Tap Settings > Tap and activate Live translate > Choose each language and voice for you and the other person (Or, set languages to use for calls with specific phone numbers or contacts) 

Disclaimer : 
* (TBU) Supports 13 languages (17 locale): English(US/Great Britain/India), Portuguese(Brazil), Spanish(Spain/Mexico/US), French, Korean, German, Italian, Chinese(Simplified), Japanese, Hindi, Polish, Thai, Vietnamese"
12,AI,Chat Assist,"What is Chat Assist, and how can I use it? Can I instantly translate chats on messaging apps?","The Chat Assist lets you translate both incoming and outgoing chats between 2 languages, right on your message apps. It works even with 3rd party apps, such as WhatsApp or Instagram (DM), so you don't need to switch between your chats and translation apps when chatting with people who speak a different language. 

Once the Chat translation is activated, when you engage in conversations in the messaging app, the AI recognizes it and displays the translation button at the top of the screen. Tapping the button immediately translates all the text in the chat for you. 

* Precondition: Open Settings > Tap Advanced features > Tap Galaxy Intelligence > Tap and activate Chat translation > Download languages","* (TBU) Supports 13 languages (17 locale): English(US/Great Britain/India), Portuguese(Brazil), Spanish(Spain/Mexico/US), French, Korean, German, Italian, Chinese(Simplified), Japanese, Hindi, Polish, Thai, Vietnamese

* Supported apps: Samsung Messages, Google Messages, Line Messenger","Revised : 
The Chat Assist lets you translate both incoming and outgoing chats between 2 languages, right on your message apps. It works even with 3rd party apps, such as WhatsApp or Instagram (DM), so you don't need to switch between your chats and translation apps when chatting with people who speak a different language. 

Once the Chat translation is activated, when you engage in conversations in the messaging app, the AI recognizes it and displays the translation button at the top of the screen. Tapping the button immediately translates all the text in the chat for you. 

* Precondition: Open Settings > Tap Advanced features > Tap Galaxy Intelligence > Tap and activate Chat translation > Download languages 

Disclaimer : 
* (TBU) Supports 13 languages (17 locale): English(US/Great Britain/India), Portuguese(Brazil), Spanish(Spain/Mexico/US), French, Korean, German, Italian, Chinese(Simplified), Japanese, Hindi, Polish, Thai, Vietnamese

* Supported apps: Samsung Messages, Google Messages, Line Messenger"
13,AI,Chat Assist,What is Chat Assist? How can I get AI message suggestions?Are there any useful AI features available when I send messages?,"The <S24 Series> provides whole new ways to send your messages to save time with fast and easy message generation. 

Google Message app provides two kinds of AI generation: Replay suggestions and Magic Rewrite. 
Reply Suggestion is designed to instantly suggest replies in various styles based on the context of your previous chats. If you are in a hurry or simply don't feel like writing anything, just tap the Reply Suggestion icon and let it complete your messages. 
Magic Rewrite can turn a your draft message into a higher-quality one based on the context you provide, which makes writing much faster. Various tones are provided, including ""Excited,"" ""Chill,"" ""Shakespeare,"" and more, to express your mood.

When using the Samsung keyboard, you can tailor the tone to your situation, proofread, and translate what you're typing instantly, right on your keyboard. That means these are all available for all apps. ","[Google Message]
* Suggested Text: EN only
* Magic Rewrite: EN (US/GB), FR, DE, IT, ES (US), KR

[Samsung Keyboard] 
* Tone Change, Spelling and grammar,  Keyboard Translation: (TBU) Supports 13 languages (17 locale): English(US/Great Britain/India), Portuguese(Brazil), Spanish(Spain/Mexico/US), French, Korean, German, Italian, Chinese(Simplified), Japanese, Hindi, Polish, Thai, Vietnamese","Revised : 
The <S24 Series> provides whole new ways to send your messages to save time with fast and easy message generation. 

Google Message app provides two kinds of AI generation: Replay suggestions and Magic Rewrite. 
Reply Suggestion is designed to instantly suggest replies in various styles based on the context of your previous chats. If you are in a hurry or simply don't feel like writing anything, just tap the Reply Suggestion icon and let it complete your messages. 
Magic Rewrite can turn a your draft message into a higher-quality one based on the context you provide, which makes writing much faster. Various tones are provided, including ""Excited,"" ""Chill,"" ""Shakespeare,"" and more, to express your mood.

When using the Samsung keyboard, you can tailor the tone to your situation, proofread, and translate what you're typing instantly, right on your keyboard. That means these are all available for all apps.  

Disclaimer : 
[Google Message]
* Suggested Text: EN only
* Magic Rewrite: EN (US/GB), FR, DE, IT, ES (US), KR

[Samsung Keyboard] 
* Tone Change, Spelling and grammar,  Keyboard Translation: (TBU) Supports 13 languages (17 locale): English(US/Great Britain/India), Portuguese(Brazil), Spanish(Spain/Mexico/US), French, Korean, German, Italian, Chinese(Simplified), Japanese, Hindi, Polish, Thai, Vietnamese"
14,AI,Chat Assist,Are there any improvements to the Keyboard?Can I translate text instantly with the keyboard? ,"Great question, <Customer Name>! 

Introducing the all new Samsung Keyboard. With the AI-powered Samsung Keyboard, you no longer have to worry about typos, grammar mistakes, or finding the right words to express yourself. Also, the Samsung Keyboard will change your tone and translate texts in real time!

The best thing is, it works seamlessly on any platform or app on your phone.","* Tone Change, Spelling and grammar,  Keyboard Translation: (TBU) Supports 13 languages (17 locale): English(US/Great Britain/India), Portuguese(Brazil), Spanish(Spain/Mexico/US), French, Korean, German, Italian, Chinese(Simplified), Japanese, Hindi, Polish, Thai, Vietnamese","Revised : 
Great question, <Customer Name>! 

Introducing the all new Samsung Keyboard. With the AI-powered Samsung Keyboard, you no longer have to worry about typos, grammar mistakes, or finding the right words to express yourself. Also, the Samsung Keyboard will change your tone and translate texts in real time!

The best thing is, it works seamlessly on any platform or app on your phone. 

Disclaimer : 
* Tone Change, Spelling and grammar,  Keyboard Translation: (TBU) Supports 13 languages (17 locale): English(US/Great Britain/India), Portuguese(Brazil), Spanish(Spain/Mexico/US), French, Korean, German, Italian, Chinese(Simplified), Japanese, Hindi, Polish, Thai, Vietnamese"
15,AI,Note Assist,What is Note Assist?Are there any improvements to the Notes app?,"With the <S24 Series>, there's been a burst of AI tools for the Notes app.

• Clean up handwriting: The AI detects your handwriting flaws then automatically straightens, aligns, and spaces it neatly. 
• Auto format: The AI can understand context, discern key points and organize your notes to be more structured. It suggests various styles you can choose from. 
• Cover generation: Also, it condenses lengthy notes and generates covers with summaries based on your notes, making it easier to find specific notes later on.

If you're using AI in your Notes, you can enhance the note-taking experience and improve productivity!

* Precondition: Open Settings > Tap Advanced features > Tap Galaxy Intelligence > Tap Notes and activate Note assist","* Samsung account log-in required. 
* (TBU) Clean up handwriting supports 100 languages.
* Auto format, Summary: (TBU) English, Portuguese, Spanish, French, Korean, German, Italian, Chinese(Traditional/Simplified), Japanese, Russian, Arabic, Hindi, Polish, Thai, Vietnamese, Indonesian, Turkish, Rumanian, Dutch, Swedish, Czech, Danish, Finnish, Hungarian, Ukrainian, Hebrew, Greek, Serbian, Bulgarian, Croatian, Norwegian, Slovak, Lithuanian, Slovenian, Latvian, Estonian, Bengali, Swahili(Africa)","Revised : 
With the <S24 Series>, there's been a burst of AI tools for the Notes app.

• Clean up handwriting: The AI detects your handwriting flaws then automatically straightens, aligns, and spaces it neatly. 
• Auto format: The AI can understand context, discern key points and organize your notes to be more structured. It suggests various styles you can choose from. 
• Cover generation: Also, it condenses lengthy notes and generates covers with summaries based on your notes, making it easier to find specific notes later on.

If you're using AI in your Notes, you can enhance the note-taking experience and improve productivity!

* Precondition: Open Settings > Tap Advanced features > Tap Galaxy Intelligence > Tap Notes and activate Note assist 

Disclaimer : 
* Samsung account log-in required. 
* (TBU) Clean up handwriting supports 100 languages.
* Auto format, Summary: (TBU) English, Portuguese, Spanish, French, Korean, German, Italian, Chinese(Traditional/Simplified), Japanese, Russian, Arabic, Hindi, Polish, Thai, Vietnamese, Indonesian, Turkish, Rumanian, Dutch, Swedish, Czech, Danish, Finnish, Hungarian, Ukrainian, Hebrew, Greek, Serbian, Bulgarian, Croatian, Norwegian, Slovak, Lithuanian, Slovenian, Latvian, Estonian, Bengali, Swahili(Africa)"
16,AI,Transcript Assist,What is Transcript Assist?What's new and different in the Voice Recorder app?,"Good question, <Customer Name>!

Now the Voice Recorder app is one of the best tools for team collaboration, all-in-one project management, lecture, and more!

The AI-powered Voice Recorder can accurately transcribe spoken conversations into text scripts, while identifying different speakers. These transcripts can be translated right away if you needed. 
Also, the AI generates quick conversation summaries so you can get text summaries faster and more efficiently than traditional methods. This is because the AI can capture information in real time, allowing you to focus on the conversation or lecture. 

* Precondition: Open Settings > Tap Advanced features > Tap Galaxy Intelligence > Tap Voice Recorder and activate Transcript assist","* Samsung account log-in required. 
* Transcription, Translation, Summary: (TBU) English(US/Great Britain/India), Portuguese(Brazil), Spanish(Spain/Mexico/US), French(France), Korean, German, Italian, Chinese(Simplified), Japanese, Hindi, Polish, Thai, Vietnamese","Revised : 
Good question, <Customer Name>!

Now the Voice Recorder app is one of the best tools for team collaboration, all-in-one project management, lecture, and more!

The AI-powered Voice Recorder can accurately transcribe spoken conversations into text scripts, while identifying different speakers. These transcripts can be translated right away if you needed. 
Also, the AI generates quick conversation summaries so you can get text summaries faster and more efficiently than traditional methods. This is because the AI can capture information in real time, allowing you to focus on the conversation or lecture. 

* Precondition: Open Settings > Tap Advanced features > Tap Galaxy Intelligence > Tap Voice Recorder and activate Transcript assist 

Disclaimer : 
* Samsung account log-in required. 
* Transcription, Translation, Summary: (TBU) English(US/Great Britain/India), Portuguese(Brazil), Spanish(Spain/Mexico/US), French(France), Korean, German, Italian, Chinese(Simplified), Japanese, Hindi, Polish, Thai, Vietnamese"
17,AI,Browsing Assist,What is Browsing Assist?Can I summarize webpages?,"That's a good question, <Customer Name>.

Browsing Assist lets you convert websites you're viewing into summaries, translate the summaries, and even highlight on the key points*, right on your browser. 
Instead of investing hours into reading an entire webpage, you can absorb the core message and valuable insights in just a second!

* Precondition: Open Samsung Internet > Tap the Tools icon > Tap Settings > Tap Useful features > Tap and activate Browsing assist/Translator","* (TBD) Available after MR update.

* Samsung account log-in required. 
* Some websites may not support Summary feature.
* Summary: (TBU) English, Portuguese, Spanish, French, Korean, German, Italian, Chinese(Traditional/Simplified), Japanese, Russian, Arabic, Hindi, Polish, Thai, Vietnamese, Indonesian, Turkish, Rumanian, Dutch, Swedish, Czech, Danish, Finnish, Hungarian, Ukrainian, Hebrew, Greek, Serbian, Bulgarian, Croatian, Norwegian, Slovak, Lithuanian, Slovenian, Latvian, Estonian, Bengali, Swahili(Africa)
* Translation: (TBU) Supports 13 languages (17 locale): English(US/Great Britain/India), Portuguese(Brazil), Spanish(Spain/Mexico/US), French, Korean, German, Italian, Chinese(Simplified), Japanese, Hindi, Polish, Thai, Vietnamese","Revised : 
That's a good question, <Customer Name>.

Browsing Assist lets you convert websites you're viewing into summaries, translate the summaries, and even highlight on the key points*, right on your browser. 
Instead of investing hours into reading an entire webpage, you can absorb the core message and valuable insights in just a second!

* Precondition: Open Samsung Internet > Tap the Tools icon > Tap Settings > Tap Useful features > Tap and activate Browsing assist/Translator 

Disclaimer : 
* (TBD) Available after MR update.

* Samsung account log-in required. 
* Some websites may not support Summary feature.
* Summary: (TBU) English, Portuguese, Spanish, French, Korean, German, Italian, Chinese(Traditional/Simplified), Japanese, Russian, Arabic, Hindi, Polish, Thai, Vietnamese, Indonesian, Turkish, Rumanian, Dutch, Swedish, Czech, Danish, Finnish, Hungarian, Ukrainian, Hebrew, Greek, Serbian, Bulgarian, Croatian, Norwegian, Slovak, Lithuanian, Slovenian, Latvian, Estonian, Bengali, Swahili(Africa)
* Translation: (TBU) Supports 13 languages (17 locale): English(US/Great Britain/India), Portuguese(Brazil), Spanish(Spain/Mexico/US), French, Korean, German, Italian, Chinese(Simplified), Japanese, Hindi, Polish, Thai, Vietnamese"
18,Camera,Technology,Is there any cutting-edge technology being adopted by the <S24 Series> camera?,"That's a really good question, <Customer Name>. 
<Galaxy S24 Series> features another level of zoom and high-resolution shots! 

[Space Zoom]
The S24 Ultra has a new, high-res, 50 MP tele lens that supports 5x optical zoom*, so you can take outstanding close-up shots and 8K videos from far away. With the significantly improved camera, the S24 Ultra provides quad tele system at 2x, 3x, 5x, and 10x**, and S24+/S24 at 2x and 3x. And enhanced AI multi-frame processing based on deep learning eliminates image quality degradation and creates clear and sharp digital zoom up to 100x in S24 Ultra, and up to 30x in S24+/S24. 
Not only for daytime, the S24 Ultra lets you take brighter, clearer zoom photos, even at night with 1.6x larger sensor size and wider OIS. Of course, night portrait quality with the zoom has surprisingly improved with the AI Night Solution and AI Stereo Depth Map.

[High resolution]
The reinforced AI Engine of the S24 Series recognizes any noise and objects in your frame to enhance details and reduce noise from high-resolution photos. At the same time, the New Adaptive Pixel technology helps to create more natural and accurate color tone. As a result, you can capture high-resolution photos with more lifelike colors and detailed textures. 

[Intelligent Gallery]
Now, AI enhances your editing experience in Gallery. When you straighten your images or move objects in your photos, AI automatically fill the background and blank to complete your photos. Also, just swipe up from your photo and get optical editing suggestions to enhance your photos and videos. It recommends that you use Remaster, Portrait effect, Erase shadows, etc. so you can pick the best one from your results.","
* S23 Ultra: Tele 10 MP, 10x optical zoom
** S23 Ultra: Optical at 3x, 10x
     S23/S23+: Optical at 3x

","Revised : 
That's a really good question, <Customer Name>. 
<Galaxy S24 Series> features another level of zoom and high-resolution shots! 

[Space Zoom]
The S24 Ultra has a new, high-res, 50 MP tele lens that supports 5x optical zoom*, so you can take outstanding close-up shots and 8K videos from far away. With the significantly improved camera, the S24 Ultra provides quad tele system at 2x, 3x, 5x, and 10x**, and S24+/S24 at 2x and 3x. And enhanced AI multi-frame processing based on deep learning eliminates image quality degradation and creates clear and sharp digital zoom up to 100x in S24 Ultra, and up to 30x in S24+/S24. 
Not only for daytime, the S24 Ultra lets you take brighter, clearer zoom photos, even at night with 1.6x larger sensor size and wider OIS. Of course, night portrait quality with the zoom has surprisingly improved with the AI Night Solution and AI Stereo Depth Map.

[High resolution]
The reinforced AI Engine of the S24 Series recognizes any noise and objects in your frame to enhance details and reduce noise from high-resolution photos. At the same time, the New Adaptive Pixel technology helps to create more natural and accurate color tone. As a result, you can capture high-resolution photos with more lifelike colors and detailed textures. 

[Intelligent Gallery]
Now, AI enhances your editing experience in Gallery. When you straighten your images or move objects in your photos, AI automatically fill the background and blank to complete your photos. Also, just swipe up from your photo and get optical editing suggestions to enhance your photos and videos. It recommends that you use Remaster, Portrait effect, Erase shadows, etc. so you can pick the best one from your results. 

Disclaimer : 

* S23 Ultra: Tele 10 MP, 10x optical zoom
** S23 Ultra: Optical at 3x, 10x
     S23/S23+: Optical at 3x

"
19,Camera,Space Zoom,Does the <S24 Series> provide Space Zoom like the previous models?,"Of course, the <S24 Series> let you capture higher-quality zoom shots from a distance, powered by advanced hardware and software. 

•	 S24 Ultra: Optical quality at 2x, 3x, 5x, 10x/Up to 100x digital zoom 
•	 S24/S24+: Optical quality at 2x, 3x/Up to 30x digital zoom",,"Revised : 
Of course, the <S24 Series> let you capture higher-quality zoom shots from a distance, powered by advanced hardware and software. 

•	 S24 Ultra: Optical quality at 2x, 3x, 5x, 10x/Up to 100x digital zoom 
•	 S24/S24+: Optical quality at 2x, 3x/Up to 30x digital zoom"
20,Camera,Single Take,What is <Single Take> in Camera mode ?,"Great question, <Customer Name>! 

Single Take is a whole new way to capture the moment. When using Single Take, simply tap the shutter once and move around to capture the environment around you from different angles. Single Take automatically captures photos and videos in a variety of styles, angles, and formats. 

Now, Single Take provides various lenses and resolutions, and now it even recognizes your pet's various poses. Also, it provides 4 or more results at a minimum, including a original video, boomerang clip, and two best photos. ",,"Revised : 
Great question, <Customer Name>! 

Single Take is a whole new way to capture the moment. When using Single Take, simply tap the shutter once and move around to capture the environment around you from different angles. Single Take automatically captures photos and videos in a variety of styles, angles, and formats. 

Now, Single Take provides various lenses and resolutions, and now it even recognizes your pet's various poses. Also, it provides 4 or more results at a minimum, including a original video, boomerang clip, and two best photos. "
21,Camera,Portrait mode,What are the advanced features of <Portrait>? ,"With the AI ISP (Night Solution) and AI stereo Depth Map, the <S24 Series> captures bright night portraits even when zoomed in, with exceptional depth and artistic blur effects. ",,"Revised : 
With the AI ISP (Night Solution) and AI stereo Depth Map, the <S24 Series> captures bright night portraits even when zoomed in, with exceptional depth and artistic blur effects. "
22,Camera,Director's view,What is <Dual Recording>?,"Dual Recording is a useful way to record videos using the two cameras at the same time. 

While recording, you can see a preview of each camera. Simply tap on the preview to change the camera angle for a more professional touch. And now with the <S24 Series>, 4K 30 fps resolution is available.",,"Revised : 
Dual Recording is a useful way to record videos using the two cameras at the same time. 

While recording, you can see a preview of each camera. Simply tap on the preview to change the camera angle for a more professional touch. And now with the <S24 Series>, 4K 30 fps resolution is available."
23,Camera,Video,What is <Instant Slow-mo> in Gallery?,"Once you record a video, AI generates additional frames based on your subject's movements. So if you long-press a video in Gallery, you can smoothly slow down the moments. ",,"Revised : 
Once you record a video, AI generates additional frames based on your subject's movements. So if you long-press a video in Gallery, you can smoothly slow down the moments. "
24,Camera,Laser AF,Why isn’t there a Depth Camera?,"With the <S24 Series>’ powerful AI technology based on its 4nm processor, you can enjoy a variety of great camera features.

Compared to a ToF (time of flight) sensor, the S24 Ultra comes equipped with a Laser AF that performs at a higher level with auto focusing for every shot, including close-up, macro shots.",,"Revised : 
With the <S24 Series>’ powerful AI technology based on its 4nm processor, you can enjoy a variety of great camera features.

Compared to a ToF (time of flight) sensor, the S24 Ultra comes equipped with a Laser AF that performs at a higher level with auto focusing for every shot, including close-up, macro shots."
25,Camera,Gallery / Photo Assist,What are the Gallery AI features? ,"With the <S24 Series>, there are two main AI editing experience in the Gallery app. 

When transforming a photo to straighten its composition, the AI preserves the cropped portions while seamlessly filling in the background. 
Even when you select and move/resize/erase objects in a photo, the AI naturally fills in the leftover empty spaces. 

Additionally, the Gallery suggests proper editing features for each photo, which makes enhancing your content effortless. ",* Samsung account log-in required. ,"Revised : 
With the <S24 Series>, there are two main AI editing experience in the Gallery app. 

When transforming a photo to straighten its composition, the AI preserves the cropped portions while seamlessly filling in the background. 
Even when you select and move/resize/erase objects in a photo, the AI naturally fills in the leftover empty spaces. 

Additionally, the Gallery suggests proper editing features for each photo, which makes enhancing your content effortless.  

Disclaimer : 
* Samsung account log-in required. "
26,Camera,Pro / Pro Video,What improvements have been made to Pro/Pro Video Mode?,"That is a great question, <Customer's Name>!

Now, high-resolution, 50 MP, 8K, 5x zoom shooting is newly supported in Pro and Pro Video mode for even higher-resolution photos and videos. 
So, you can enjoy a more DSLR-like shooting experience by adjusting the shutter speed, ISO, WB, and more while recording with more various lens angles.",,"Revised : 
That is a great question, <Customer's Name>!

Now, high-resolution, 50 MP, 8K, 5x zoom shooting is newly supported in Pro and Pro Video mode for even higher-resolution photos and videos. 
So, you can enjoy a more DSLR-like shooting experience by adjusting the shutter speed, ISO, WB, and more while recording with more various lens angles."
27,Camera,Expert RAW,What improvements have been made to the Expert RAW app?,"The new digital ND filter that blocks some of the light entering the lens is available in Expert RAW. You can use the ND filter for daytime when there's a lot of light, to control overexposure and retain color balance to capture a dreamy waterfall, cloud formation, etc. There are 10 levels available, so you can adjust the density of the filter to match your situation. 

Also, 24 MP shooting is supported that combines various exposure in multiple frames to achieve 24 MP photos with low noise. ",,"Revised : 
The new digital ND filter that blocks some of the light entering the lens is available in Expert RAW. You can use the ND filter for daytime when there's a lot of light, to control overexposure and retain color balance to capture a dreamy waterfall, cloud formation, etc. There are 10 levels available, so you can adjust the density of the filter to match your situation. 

Also, 24 MP shooting is supported that combines various exposure in multiple frames to achieve 24 MP photos with low noise. "
28,Camera,Google Duo,Does Google DUO offer additional services for Galaxy users?,"Google DUO has merged with Google Meet, and through our strong partnership with Google, we now have Google Meet’s exclusive features on the Galaxy.

It supports 720p high-resolution group video calls, and for the first time, when on a Google Meet group call, you ca co-edit Samsung Notes with call participants in real time!",,"Revised : 
Google DUO has merged with Google Meet, and through our strong partnership with Google, we now have Google Meet’s exclusive features on the Galaxy.

It supports 720p high-resolution group video calls, and for the first time, when on a Google Meet group call, you ca co-edit Samsung Notes with call participants in real time!"
29,Performance,AP / Memory / storage,"How is the AP, memory, and storage of the <Galaxy S24 Series>?","Each <Galaxy S24 Series> models is powered by a 4nm processor, the fastest ever in a Galaxy Series. 

The <S24 Series> ships with the latest Qualcomm® Snapdragon 8 Gen 3 for Galaxy or the Exynos 2400 for Galaxy*. 
The processors go through the same strict and rigorous, real-life testing scenarios in order to deliver consistent, optimal performance over the entire lifespan of the device.

Also, the <S24 Series> comes with large Memory size engineered with LPDDR5X for more swift multitasking and tasks.  
•	 S24 Ultra: Memory (12 GB), Storage (256/512 GB, 1 TB)
•	 S24+: Memory (12 GB), Storage (256/512 GB)
• S24: Memory (8 GB), Storage (128/256/512 GB)","* May vary by country and region. Compared to prior generation chipset. Actual performance may vary depending on testing conditions.
※ Memory and storage options may vary by country. 
※ Actual internal storage available may vary depending on pre-installed software. ","Revised : 
Each <Galaxy S24 Series> models is powered by a 4nm processor, the fastest ever in a Galaxy Series. 

The <S24 Series> ships with the latest Qualcomm® Snapdragon 8 Gen 3 for Galaxy or the Exynos 2400 for Galaxy*. 
The processors go through the same strict and rigorous, real-life testing scenarios in order to deliver consistent, optimal performance over the entire lifespan of the device.

Also, the <S24 Series> comes with large Memory size engineered with LPDDR5X for more swift multitasking and tasks.  
•	 S24 Ultra: Memory (12 GB), Storage (256/512 GB, 1 TB)
•	 S24+: Memory (12 GB), Storage (256/512 GB)
• S24: Memory (8 GB), Storage (128/256/512 GB) 

Disclaimer : 
* May vary by country and region. Compared to prior generation chipset. Actual performance may vary depending on testing conditions.
※ Memory and storage options may vary by country. 
※ Actual internal storage available may vary depending on pre-installed software. "
30,Performance,UWB,What is UWB (Ultra-wideband) technology and how can I use it ?  ,"UWB stands for Ultra-Wide Band, which is a next-generation wireless communication technology with high accuracy and enhanced security.

For example: If you want to share a file with someone, you can simply point your smartphone at another person's device, then the user can instantly share files.*

In their near future, UWB technology could potentially be used as a digital key to unlock your car or front door, rather than carrying multiple keys. 
",* Both sending and receiving devices must support UWB.,"Revised : 
UWB stands for Ultra-Wide Band, which is a next-generation wireless communication technology with high accuracy and enhanced security.

For example: If you want to share a file with someone, you can simply point your smartphone at another person's device, then the user can instantly share files.*

In their near future, UWB technology could potentially be used as a digital key to unlock your car or front door, rather than carrying multiple keys. 
 

Disclaimer : 
* Both sending and receiving devices must support UWB."
31,Performance,Micro SD,Does the Galaxy S24 Series support microSD cards for storage expansion? Why did Samsung remove the SD card slot from the S24 Series?,"Thank you for asking, <Customer Name>. 

The Galaxy S24 Series does not support microSD cards, but it does offer several storage options so you don't have to worry about running out of storage. 

[Storage]
• S24 Ultra: 256/512 GB/1 TB  
• S24+: 256/512 GB   
• S24: 128/256/512 GB

So, you can choose the best storage option for you so that you have enough storage for years of old photos, videos, messages, and other files from your previous phone and for the future. ",* S24 starts at 128 GB storage for the basic model.,"Revised : 
Thank you for asking, <Customer Name>. 

The Galaxy S24 Series does not support microSD cards, but it does offer several storage options so you don't have to worry about running out of storage. 

[Storage]
• S24 Ultra: 256/512 GB/1 TB  
• S24+: 256/512 GB   
• S24: 128/256/512 GB

So, you can choose the best storage option for you so that you have enough storage for years of old photos, videos, messages, and other files from your previous phone and for the future.  

Disclaimer : 
* S24 starts at 128 GB storage for the basic model."
32,Performance,Game,How's the gaming performance?,"That's a wonderful question, <Customer Name>!

The Galaxy <S24 Series> is definitely the Ultimate Gaming Machine. 

With the fastest 4nm AP in Galaxy ever, the <S24 Series> provides powerful gaming performance. Plus, with AI-based power management, the gameplay is not only smooth, but also stable. Moreover, by increasing the size of the vapor chamber, the cooling performance is enhanced so that you will feel less heat. Thus, from simple to heavy games, you can experience faster and smoother gaming, and can even play longer. 

Keep in mind that the <S24 Series> comes with even more intelligent Vision Booster*. Whether you are playing the game inside or outside, its vision booster adapts to the ambient light to provide a brighter screen during your gameplay.",*Not activated when Eye comfort shield is active.,"Revised : 
That's a wonderful question, <Customer Name>!

The Galaxy <S24 Series> is definitely the Ultimate Gaming Machine. 

With the fastest 4nm AP in Galaxy ever, the <S24 Series> provides powerful gaming performance. Plus, with AI-based power management, the gameplay is not only smooth, but also stable. Moreover, by increasing the size of the vapor chamber, the cooling performance is enhanced so that you will feel less heat. Thus, from simple to heavy games, you can experience faster and smoother gaming, and can even play longer. 

Keep in mind that the <S24 Series> comes with even more intelligent Vision Booster*. Whether you are playing the game inside or outside, its vision booster adapts to the ambient light to provide a brighter screen during your gameplay. 

Disclaimer : 
*Not activated when Eye comfort shield is active."
33,Performance,Fingerprint,How is the Fingerprint scanner different from the previous model (S23 Series)? ,"We're happy to answer that, <Customer Name>!
It's not. The Galaxy S24 Series is equipped with the same ultrasonic fingerprint scanner as the S23 Series.",,"Revised : 
We're happy to answer that, <Customer Name>!
It's not. The Galaxy S24 Series is equipped with the same ultrasonic fingerprint scanner as the S23 Series."
34,Performance,Sound,Are stereo speakers and Dolby ATMOS supported?,"That's a wonderful question, <Customer Name>! 

You can experience clear, rich, 3D sound enhanced by Dolby Atmos through the device speakers and Type-C earphones.",,"Revised : 
That's a wonderful question, <Customer Name>! 

You can experience clear, rich, 3D sound enhanced by Dolby Atmos through the device speakers and Type-C earphones."
35,Performance,Water and Dust Resistance / IP68,What are the water and dust resistance specifications?,"Thank you for asking, <Customer Name> !

The Galaxy S24 Series has an IP68 rating, the Galaxy standard for water and dust resistance.",※ IP68 is based on test conditions for submersion in up to 1.5 meters of freshwater for up to 30 minutes. Not advised for beach or pool use. Water or dust damage is not covered by warranty.,"Revised : 
Thank you for asking, <Customer Name> !

The Galaxy S24 Series has an IP68 rating, the Galaxy standard for water and dust resistance. 

Disclaimer : 
※ IP68 is based on test conditions for submersion in up to 1.5 meters of freshwater for up to 30 minutes. Not advised for beach or pool use. Water or dust damage is not covered by warranty."
36,Battery,Capacity,What is the battery capacity of each model?,"Each S24 Series model features a longer-lasting battery.
• S24 Ultra: 5,000 mAh 
• S24+: 4,900 mAh 
• S24: 4,000 mAh

For the S24 and S24+, their battery capacities have increased 100 and 200 mAh compared to the previous models, respectively. And their display supports Adaptive refresh rate from 1 to 120 Hz now like the Ultra model to provides low-power consumption to make the S24 Series last longer. Not to mention, the S23 Series supports Super Fast Charging, Fast Wireless Charging 2.0, and Reverse Wireless Charging.

• (	45W) Super Fast Charging 2.0 (S24 Ultra/S24+)
•	 Super Fast Charging (S24)","※ Usage time tested in an internal laboratory with unused products. Usage time on the official website may vary with other test method, considering the deviation in actual user environment. Actual battery life, charging time, and usage time may vary depending on the network environment, usage patterns, amount of calls and messages, charging frequency, and other factors.
※ Typical value tested under third-party laboratory condition. Rated (minimum) capacity is less.
※ Super Fast Charger required and sold separately. ","Revised : 
Each S24 Series model features a longer-lasting battery.
• S24 Ultra: 5,000 mAh 
• S24+: 4,900 mAh 
• S24: 4,000 mAh

For the S24 and S24+, their battery capacities have increased 100 and 200 mAh compared to the previous models, respectively. And their display supports Adaptive refresh rate from 1 to 120 Hz now like the Ultra model to provides low-power consumption to make the S24 Series last longer. Not to mention, the S23 Series supports Super Fast Charging, Fast Wireless Charging 2.0, and Reverse Wireless Charging.

• (	45W) Super Fast Charging 2.0 (S24 Ultra/S24+)
•	 Super Fast Charging (S24) 

Disclaimer : 
※ Usage time tested in an internal laboratory with unused products. Usage time on the official website may vary with other test method, considering the deviation in actual user environment. Actual battery life, charging time, and usage time may vary depending on the network environment, usage patterns, amount of calls and messages, charging frequency, and other factors.
※ Typical value tested under third-party laboratory condition. Rated (minimum) capacity is less.
※ Super Fast Charger required and sold separately. "
